Word,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,MCDI_AoA
airplane,0.22,0.21,0.41,0.48,0.54,0.57,0.7,0.74,0.79,0.85,0.9,0.92,0.96,0.91,0.97,20
bicycle,0.13,0.15,0.29,0.41,0.4,0.51,0.6,0.67,0.69,0.76,0.81,0.84,0.92,0.89,0.96,21
boat,0.18,0.22,0.4,0.48,0.52,0.51,0.68,0.73,0.76,0.8,0.85,0.86,0.95,0.86,0.95,20
bus,0.16,0.2,0.32,0.47,0.46,0.55,0.72,0.77,0.76,0.79,0.82,0.87,0.92,0.9,0.96,21
car,0.39,0.47,0.66,0.75,0.73,0.78,0.86,0.91,0.91,0.94,0.93,0.95,0.98,0.97,0.99,18
firetruck,0.05,0.03,0.13,0.2,0.22,0.3,0.42,0.47,0.55,0.65,0.62,0.66,0.83,0.77,0.88,24
helicopter,0.04,0.04,0.1,0.16,0.17,0.26,0.34,0.44,0.5,0.59,0.62,0.69,0.79,0.65,0.83,25
motorcycle,0.03,0.04,0.1,0.14,0.15,0.25,0.34,0.44,0.45,0.54,0.59,0.65,0.78,0.71,0.8,25
sled,0.01,0.06,0.07,0.1,0.13,0.22,0.24,0.3,0.24,0.29,0.31,0.38,0.38,0.45,0.53,30
stroller,0.06,0.05,0.16,0.21,0.22,0.18,0.28,0.34,0.49,0.55,0.54,0.54,0.83,0.54,0.79,25
tractor,0.06,0.09,0.16,0.19,0.23,0.28,0.42,0.44,0.48,0.51,0.5,0.61,0.73,0.61,0.73,25
train,0.12,0.17,0.34,0.41,0.49,0.48,0.69,0.74,0.79,0.8,0.86,0.88,0.95,0.9,0.97,22
tricycle,0.01,0.03,0.04,0.05,0.09,0.1,0.2,0.18,0.26,0.31,0.35,0.38,0.5,0.42,0.57,30
truck,0.29,0.33,0.51,0.58,0.62,0.65,0.78,0.81,0.85,0.87,0.93,0.91,0.97,0.93,0.97,18
ball,0.77,0.79,0.9,0.91,0.95,0.94,0.96,0.98,0.96,0.97,0.98,0.98,0.99,0.98,0.99,16
balloon,0.47,0.4,0.6,0.65,0.69,0.71,0.8,0.85,0.87,0.89,0.92,0.94,0.98,0.93,0.98,18
bat,0.06,0.07,0.13,0.19,0.17,0.24,0.3,0.38,0.42,0.47,0.54,0.52,0.76,0.62,0.71,26
block,0.19,0.22,0.37,0.42,0.45,0.49,0.59,0.65,0.67,0.71,0.76,0.81,0.9,0.8,0.93,22
book,0.52,0.52,0.71,0.8,0.83,0.8,0.82,0.92,0.91,0.92,0.94,0.96,0.98,0.95,0.97,16
bubbles,0.36,0.38,0.58,0.63,0.67,0.65,0.8,0.85,0.86,0.89,0.91,0.92,0.97,0.92,0.98,18
chalk,0.02,0.03,0.07,0.12,0.11,0.19,0.28,0.29,0.36,0.4,0.4,0.47,0.64,0.54,0.69,28
crayon,0.05,0.09,0.22,0.29,0.31,0.35,0.53,0.53,0.65,0.71,0.72,0.76,0.88,0.8,0.94,22
glue,0,0,0.03,0.05,0.05,0.06,0.1,0.12,0.19,0.25,0.29,0.38,0.51,0.45,0.59,28
pen,0.07,0.1,0.19,0.25,0.3,0.4,0.44,0.54,0.55,0.62,0.69,0.69,0.83,0.73,0.86,23
pencil,0.03,0.03,0.12,0.18,0.18,0.27,0.31,0.35,0.46,0.53,0.59,0.61,0.8,0.72,0.84,25
play dough,0.01,0.03,0.07,0.08,0.12,0.18,0.26,0.29,0.37,0.46,0.46,0.5,0.65,0.59,0.73,28
present,0.01,0.03,0.05,0.1,0.13,0.17,0.34,0.37,0.51,0.56,0.59,0.65,0.81,0.7,0.85,24
puzzle,0.03,0.04,0.15,0.21,0.2,0.26,0.38,0.43,0.57,0.62,0.63,0.71,0.85,0.75,0.88,24
story,0.03,0.06,0.12,0.18,0.18,0.28,0.36,0.42,0.53,0.54,0.61,0.66,0.81,0.73,0.84,24
apple,0.33,0.43,0.58,0.62,0.68,0.72,0.86,0.88,0.87,0.9,0.92,0.95,0.98,0.95,0.97,18
applesauce,0.05,0.05,0.14,0.15,0.23,0.28,0.38,0.45,0.48,0.5,0.55,0.57,0.73,0.65,0.84,26
banana,0.52,0.56,0.66,0.73,0.76,0.77,0.87,0.9,0.87,0.91,0.92,0.93,0.98,0.94,0.97,16
