Word,Length,LgSUBTLWF,OLD
accomplishments,15,1.914,4.9
accord,6,1.924,2.45
accordance,10,1.914,3.75
accorded,8,0.903,2.6
according,9,3.33,2.7
accordingly,11,1.973,4.2
accordion,9,1.833,3.6
accords,7,1,2.55
accost,6,0.602,2.45
accosted,8,1.544,2.7
accosting,9,0.699,2.7
account,7,3.358,2.6
accountability,14,1.398,5.45
accountable,11,1.863,3.95
accountant,10,2.5,3.6
accountants,11,1.748,4.2
accounted,9,2.19,2.6
accounting,10,2.364,2.7
accounts,8,2.728,2.65
accredit,8,,3.4
accreditation,13,1,4.7
accredited,10,1.23,3.6
accrue,6,0.699,2.65
accrued,7,1.146,2.65
accrues,7,0.301,2.7
accruing,8,0.477,2.9
acculturated,12,,4.05
acculturation,13,,4.45
accumulate,10,1.477,3.45
accumulated,11,1.602,3.55
accumulates,11,1.079,3.95
accumulating,12,1.279,4.05
accumulation,12,1.146,3.55
accuracy,8,1.887,3.6
accurate,8,2.603,2.75
accurately,10,1.771,3.9
accurst,7,,2.8
accusation,10,2.158,2.95
accusations,11,2.188,3.45
accusative,10,,3.6
accuse,6,2.464,2.25
accused,7,2.824,2.35
accuses,7,1.505,2.35
accusing,8,2.403,2.6
accusingly,10,,3.75
accustom,8,0.845,3.25
accustomed,10,2.176,3.65
ace,3,2.876,1
acerbic,7,0.699,2.95
aces,4,2.308,1.4
acetate,7,0.845,2.75
acetone,7,0.954,2.85
acetylene,9,1.38,4.5
ache,4,2.107,1.65
ached,5,1.23,1.8
aches,5,1.892,1.7
achieve,7,2.574,2.65
achieved,8,2.342,2.75
achievement,11,2.253,4.5
achievements,12,1.748,4.7
achieves,8,1.23,2.6
achieving,9,1.58,3.15
Achilles,8,2.064,2.85
aching,6,2.025,1.9
acid,4,2.707,1.7
acidic,6,1.079,2.7
acidity,7,1.041,2.4
acids,5,1.633,1.9
acknowledge,11,2.497,4.35
acknowledged,12,2.004,4.6
acknowledgement,15,1.342,6.05
acknowledges,12,1.146,4.5
acknowledging,13,1.568,5.1
acknowledgment,14,1.431,5.4
acknowledgments,15,0.301,5.75
acme,4,1.813,1.8
acne,4,1.672,1.75
acolyte,7,0.903,3.2
acorn,5,1.58,1.8
acorns,6,1.301,1.85
acoustic,8,1.699,3.1
acoustical,10,0.845,3.6
acoustically,12,0.301,3.8
acoustics,9,1.362,3.5
acquaint,8,1.322,3.4
acquaintance,12,2.438,5.3
acquainted,10,2.365,3.5
acquiesce,9,0.602,3.6
acquiesced,10,0.778,3.75
acquiescence,12,0.778,4.4
acquiescent,11,0.301,4.1
acquire,7,2.134,2.55
acquired,8,2.36,2.6
acquires,8,0.954,2.7
acquiring,9,1.643,3.05
acquisition,11,1.875,3.55
acquisitions,12,1.532,3.95
acquisitive,11,0.602,4.1
acquisitiveness,15,0.301,5.75
acquit,6,1.398,2.75
acquittal,9,1.58,3.85
acquitted,9,1.898,3.2
acre,4,1.973,1.7
acreage,7,1.362,2.9
acres,5,2.371,1.8
acrid,5,0.477,1.9
acrimonious,11,0.903,4.35
acrimony,8,1.079,3.15
acrobat,7,1.491,2.85
acrobatic,9,1.114,3.05
acrobatics,10,1.079,3.4
acrobats,8,1.301,3.1
acronym,7,1.204,3
Acropolis,9,0.845,3.8
across,6,3.681,2.15
acrylic,7,1.38,3.2
act,3,3.745,1.5
acted,5,2.74,1.95
acting,6,3.428,1.95
action,6,3.494,1.85
actions,7,2.793,1.9
activate,8,2.378,2.6
activated,9,2.344,2.7
activating,10,1.653,3.2
activation,10,1.643,2.8
active,6,2.767,2.1
actively,8,1.633,3.1
activism,8,1,3.2
activist,8,1.708,3.2
activities,10,2.643,3.35
activity,8,2.818,2.55
actor,5,3.128,1.9
actors,6,2.81,1.9
actor's,7,,
actress,7,2.913,2.35
actresses,9,2.064,2.65
acts,4,2.804,1.75
actual,6,2.947,2.45
actualities,11,0.301,3.75
actuality,9,1.398,2.95
actually,8,4.216,2.65
actuary,7,0.903,2.8
acuity,6,1.176,2.45
acupuncture,11,1.58,4.75
acute,5,2.179,1.95
acutely,7,1.176,2.9
acuteness,9,0.301,3.3
ad,2,2.842,1
Ada,3,,1.75
adage,5,1.518,2
Adam,4,3.277,1.85
adamant,7,1.708,2.95
adamantly,9,0.477,3.9
Adam's,6,,
adapt,5,2.13,1.95
adaptability,12,0.903,4.1
adaptable,9,1.255,3.5
adaptation,10,1.914,3.2
adaptations,11,0.602,3.7
adapted,7,1.756,2.5
adapter,7,1.079,2.6
adapters,8,,2.8
adapting,8,1.447,2.7
Ada's,5,,
add,3,3.227,1.6
added,5,2.693,1.8
addendum,8,1.204,3.95
adder,5,1.869,1.8
addict,6,2.438,2.45
addicted,8,2.365,2.75
addiction,9,2.301,2.7
addicts,7,2.029,2.75
adding,6,2.314,1.9
addition,8,2.598,2.35
additional,10,2.479,3.4
additionally,12,1.23,4.2
additions,9,1.079,2.5
additive,8,1.079,3.1
additives,9,1.041,3.35
addle,5,0.954,1.8
address,7,3.426,2.45
addressed,9,2.29,2.55
addressee,9,0.845,3.1
addressees,10,,3.35
addresses,9,2.212,2.55
addressing,10,2.033,3.1
adds,4,2.305,1.8
adduce,6,0.301,2.5
Adele,5,,1.95
adept,5,1.532,1.9
adequacy,8,0.301,3.7
adequate,8,2.124,3.15
adequately,10,1.447,3.95
adhere,6,1.477,2
adhered,7,0.845,2.35
adherence,9,1,3.2
adherent,8,0.602,2.55
adherents,9,0.301,3.35
adheres,7,0.602,2.5
adhesion,8,0.845,3.25
adhesive,8,1.681,3.2
adhesives,9,0.301,3.5
adieu,5,1.978,2.45
adios,5,2.204,1.95
adipose,7,0.699,2.8
adirondack,10,,4.8
adirondacks,11,,5.7
adjacent,8,1.839,3.55
adjectival,10,,4.35
adjective,9,1.415,2.9
adjectives,10,1.415,3.25
adjoin,6,,2.55
adjoined,8,0.301,2.7
adjoining,9,1.763,2.85
adjoins,7,0.778,2.7
adjourn,7,1.826,2.85
adjourned,9,2.4,3.1
adjourning,10,0.477,3.55
adjournment,11,1.079,4.25
adjourns,8,0.477,3.1
adjudge,7,0.301,2.75
adjudged,8,0.602,2.8
adjudging,9,,3.35
adjudicate,10,0.778,3.85
adjudication,12,1,3.9
adjunct,7,0.903,2.9
adjuncts,8,,3.4
adjure,6,0.301,2.45
adjust,6,2.459,2.45
adjustable,10,1.23,3.9
adjusted,8,1.968,2.7
adjusting,9,2.086,2.9
adjustment,10,2.201,3.4
adjustments,11,1.857,3.7
adjusts,7,1,2.7
Adlai,5,,2.6
administer,10,1.935,3.45
administered,12,1.887,4.3
administering,13,1.398,4.6
administers,11,0.845,3.65
administration,14,2.589,4.3
administration's,16,,
administrative,14,1.919,4.9
administratively,16,,6.25
administrator,13,1.929,4.75
administrators,14,1.279,5
admirable,9,2.127,2.6
admirably,9,1.342,3.2
admiral,7,2.927,2.5
admirals,8,1.477,2.65
admiralty,9,1.544,3.6
admiration,10,2.033,2.9
admire,6,2.859,1.85
admired,7,2.274,2.1
admirer,7,2.182,2.45
admirers,8,1.699,2.6
admires,7,1.431,2.15
admiring,8,2.152,2.8
admiringly,10,,3.7
admissible,10,1.58,3.55
admission,9,2.26,2.85
admissions,10,2.049,3.1
admit,5,3.48,2
admits,6,2.025,2.2
admittance,10,1.544,3.75
admitted,8,2.67,2.65
admittedly,10,1.681,4
admitting,9,2.199,2.85
admixed,7,,2.5
admonish,8,0.699,3.1
admonished,10,0.699,3.55
admonishing,11,0.477,3.75
admonishments,13,0.301,4.8
admonition,10,0.778,3.25
admonitions,11,0.301,3.55
ado,3,1.892,1.7
adobe,5,1.398,1.95
adolescence,11,1.653,4.15
adolescent,10,1.978,3.55
adolescents,11,1.477,4.35
adolescent's,12,,
Adolf,5,1.845,2.1
Adonis,6,1.322,2.7
adopt,5,2.378,1.85
adopted,7,2.635,2.45
adopting,8,1.785,2.75
adoption,8,2.38,2.75
adopts,6,1.079,2.45
adorable,8,2.731,2.85
adoration,9,1.491,2.55
adore,5,2.597,1.8
adored,6,2.1,1.85
adores,6,1.964,1.85
adorn,5,0.954,1.85
adorned,7,0.954,2.2
adornment,9,0.699,3.4
adorns,6,0.602,1.95
adrenal,7,1.23,2.75
adrenalin,9,1.462,3.9
Adrian,6,,2.6
Adriatic,8,0.954,2.95
adrift,6,1.716,2.45
adroit,6,0.845,2.8
adroitness,10,0.301,3.95
