Word,Length,LgSUBTLWF,OLD
fellows,7,2.831,1.95
fellowship,10,2.179,4.4
fellowships,11,1,4.7
felon,5,2.111,1.85
felonious,9,1.176,3.55
felons,6,1.813,2
felony,6,2.456,2.45
felt,4,3.786,1.6
female,6,3.208,2.35
females,7,2.24,2.75
female's,8,,
feminine,8,2.369,2.9
femininity,10,1.322,3.9
feminism,8,1.255,3.25
feminist,8,1.973,3.1
femme,5,1.806,2.25
femmes,6,1.114,2.55
femur,5,1.771,2.3
fence,5,2.914,1.75
fenced,6,1.23,1.85
fencer,6,0.477,1.8
fences,6,2.083,1.85
fencing,7,1.851,2
fend,4,1.681,1.25
fender,6,2.117,1.5
fenders,7,1.398,1.75
fennel,6,1.602,2.1
feral,5,1,2
ferment,7,1.079,2.25
fermentation,12,0.903,3.15
fermentations,13,,3.7
fermented,9,1.462,2.7
fermenting,10,0.845,3.25
fern,4,2.215,1.9
ferns,5,1.176,1.95
ferocious,9,1.903,3.1
ferocity,8,1.041,3.05
ferret,6,1.924,2.1
ferreted,8,,2.75
ferried,7,0.954,2
ferries,7,0.845,2
Ferris,6,2.322,2.4
ferromagnetic,13,,5.65
ferry,5,2.438,1.75
ferryboat,9,1.342,4.6
ferryman,8,0.845,3.4
fertile,7,1.909,2.5
fertility,9,1.991,2.7
fertilization,13,1.114,3.8
fertilize,9,1.342,3.05
fertilized,10,1.255,3.1
fertilizer,10,2.004,3.4
fertilizers,11,1.041,4.05
fervency,8,0.301,3.15
fervent,7,1.279,2.5
fervid,6,,2.7
fervor,6,1.204,2.45
fervors,7,,2.7
fester,6,2.14,1.65
festering,9,1.505,2.15
festival,8,2.704,3.15
festivals,9,1.568,3.6
festive,7,1.996,2.6
festivities,11,1.857,4
festivity,9,0.954,2.95
fetch,5,2.748,1.9
fetching,8,1.826,2.2
fetish,6,2.072,2.6
fetishism,9,0.845,3.9
feud,4,1.826,1.75
feudal,6,1.041,2.6
feudalism,9,0.477,3.45
feudalistic,11,,4.1
feuds,5,0.954,1.85
fever,5,3.008,1.75
fevered,7,0.954,1.9
feverish,8,1.532,3
feverishly,10,0.602,4.2
few,3,4.187,1.45
fewer,5,2.185,1.85
fiance,6,2.305,1.85
fiancee,7,2.19,2.65
fiasco,6,1.924,2.8
Fiat,4,1,1.7
Fiats,5,,1.7
fib,3,1.819,1.45
fiber,5,2.196,1.85
fibers,6,2.049,1.9
fibrosis,8,1.322,3.6
fibrous,7,1.146,2.9
fibula,6,1.041,2.95
fickle,6,1.785,1.85
fickleness,10,,3.65
fiction,7,2.493,2
fictional,9,1.857,2.75
fictionalize,12,0.301,4.15
fictitious,10,1.505,3.65
fictive,7,,2.7
fiddle,6,2.269,1.75
fiddler,7,1.663,2.15
fiddles,7,0.903,2.25
fiddlesticks,12,1.491,5.75
fiddling,8,1.643,2.2
Fidel,5,1.792,2
fidelity,8,2.009,3
fidget,6,0.699,2.15
fidgety,7,1.279,2.85
fief,4,0.301,2
fiefdom,7,,3.05
field,5,3.554,1.75
fielded,7,0.699,2.05
fielder,7,1.462,1.9
fielders,8,0.602,2.45
fielder's,9,,
fielding,8,2.037,2.35
fieldmice,9,,3.85
fieldmouse,10,,4.65
fields,6,2.785,1.9
field's,7,,
fieldsman,9,,3.7
fieldwork,9,1.079,3.85
fiend,5,2.158,1.8
fiendish,8,1.491,3.05
fierce,6,2.389,2.2
fiercely,8,1.69,3.25
fierceness,10,0.477,3.8
fiercest,8,1.114,2.9
fiery,5,2.017,1.95
fiesta,6,1.813,2.65
fife,4,1.732,1.65
fifteen,7,2.952,2.85
fifteenth,9,1.447,3.45
fifth,5,2.991,1.9
fifties,7,1.544,2.65
fiftieth,8,0.903,3.35
fifty,5,2.983,1.9
fig,3,1.799,1.3
Figaro,6,1.724,2.85
fight,5,4.011,1.5
fighter,7,2.815,1.95
fighters,8,2.56,2.45
fighting,8,3.558,2.45
fights,6,2.789,1.7
figment,7,1.748,2.5
figs,4,1.556,1.7
figural,7,0.301,2.85
figurative,10,0.699,3.75
figure,6,3.82,2.3
figured,7,3.59,2.55
figurehead,10,1.176,4.45
figures,7,2.978,2.55
figurine,8,1.176,3.1
figurines,9,1.415,3.45
figuring,8,2.504,2.7
Fiji,4,1.881,1.95
filament,8,1.255,2.65
filaments,9,0.845,2.9
filbert,7,0.477,2.45
filberts,8,0.477,2.7
filched,7,0.477,2.6
file,4,3.352,1.15
filed,5,2.653,1.35
files,5,3.133,1.4
filets,6,0.602,1.95
filial,6,1.204,2.6
filibuster,10,1.079,4.1
filibusters,11,,4.55
filigree,8,0.778,3.8
filing,6,2.367,1.6
Filipino,8,1.778,3.65
Filipinos,9,1.431,3.8
fill,4,3.351,1.05
fille,5,1.079,1.65
filled,6,3.142,1.5
filler,6,1.462,1.6
fillet,6,1.415,1.85
fillies,7,1,1.95
filling,7,2.695,1.5
fillings,8,1.556,2.2
fills,5,2.127,1.3
filly,5,1.785,1.4
film,4,3.522,1.75
filmdom,7,,3.35
filmed,6,2.086,1.9
filming,7,2.299,1.9
films,5,2.876,1.75
film's,6,,
filmstrip,9,0.699,4.4
filmstrips,10,,4.5
filmy,5,0.699,1.85
filter,6,2.212,1.85
filtered,8,1.505,2.55
filtering,9,1.415,2.65
filters,7,1.69,1.9
filth,5,2.365,1.85
filthy,6,2.924,2.45
filtrate,8,,2.9
filtration,10,1.38,2.9
fin,3,2.243,1
final,5,3.404,1.9
finale,6,2.1,1.9
finalist,8,1.398,2.7
finalists,9,1.763,3.15
finality,8,1.322,2.5
finalize,8,1.431,2.75
finally,7,3.777,2.5
finals,6,2.533,1.9
finance,7,2.438,2.35
financed,8,1.699,2.6
finances,8,1.903,2.6
financial,9,2.891,3.45
financially,11,2.146,4.55
financier,9,1.255,3.15
financing,9,1.935,2.9
finch,5,2.314,1.8
find,4,4.627,1.15
finder,6,1.935,1.4
finders,7,1.447,1.65
finding,7,3.287,1.8
findings,8,2.14,2.2
finds,5,3.174,1.5
fine,4,4.484,1
fined,5,1.643,1.45
finely,6,1.663,1.95
fineness,8,0.301,2.7
finer,5,2.124,1.5
finery,6,1.176,1.85
fines,5,1.613,1.05
finesse,7,1.857,2.85
finest,6,2.925,1.95
finger,6,3.272,1.6
fingerboard,11,0.699,4.55
fingered,8,1.602,2.55
fingering,9,1.279,2.55
fingerings,10,,3.1
fingernail,10,1.839,3.7
fingernails,11,2.324,4.05
fingerprint,11,2.215,4.2
fingerprinting,14,1.23,5.2
fingerprints,12,2.769,4.4
fingers,7,3.23,1.75
fingertip,9,1.041,3.5
fingertips,10,1.929,3.65
finicky,7,1.041,2.95
finis,5,0.903,1.75
finish,6,3.703,1.9
finished,8,3.63,2.5
finisher,8,0.954,2.6
finishes,8,2.263,2.5
finishing,9,2.606,2.75
finite,6,1.532,2.4
fink,4,2.316,1.25
Finland,7,1.663,2.7
Finn,4,2.401,1.65
finned,6,,1.8
Finnish,7,1.491,2.7
Finns,5,0.699,1.7
fins,4,1.785,1.15
fir,3,1.362,1.35
fire,4,4.041,1.1
firearm,7,1.887,2.7
firearms,8,2.193,2.7
fireball,8,1.887,3.1
firebird,8,1.462,3.2
firebomb,8,0.699,3.45
firebox,7,0.477,2.9
firebrand,9,0.301,3.55
firebreaks,10,0.301,3.75
firebrick,9,,3.8
firebug,7,1.114,3
firecracker,11,1.74,4.25
firecrackers,12,1.568,4.5
fired,5,3.5,1.45
firedog,7,,2.85
firefly,7,1.462,2.8
firehouses,10,0.699,3.55
firelight,9,1.415,3.1
fireman,7,2.176,2.65
firemen,7,2.041,2.7
fireplace,9,2.415,3.2
fireplaces,10,1.279,3.55
firepower,9,1.996,3.85
fireproof,9,0.954,3.8
fires,5,2.698,1.5
fire's,6,,
fireside,8,1.322,2.9
firestorm,9,0.845,3.45
firewater,9,1.301,3.55
firewood,8,1.892,3.05
fireworks,9,2.459,3.8
firing,6,2.972,1.7
firm,4,3.255,1.7
firmament,9,1.415,3.15
firmer,6,1.204,1.9
firmly,6,2.137,2.45
firmness,8,1.114,2.8
firms,5,1.919,1.75
firm's,6,,
first,5,4.632,1.95
firstborn,9,1.613,3.9
firsthand,9,1.881,3.8
firtree,7,,3
fiscal,6,1.602,2.45
fish,4,3.629,1.75
fishbone,8,0.699,3.3
fishcake,8,,3.8
fisher,6,2.636,1.85
fisherman,9,2.346,3.6
fisherman's,11,,
fishermen,9,2.021,3.6
fishers,7,1,2.05
fishery,7,1.079,2.55
fishes,6,2.086,1.8
fishing,7,3.081,1.95
fishmonger,10,0.845,4.15
fishmongers,11,0.602,4.65
fishpond,8,0.602,3.45
fishy,5,2.158,1.95
fission,7,1.23,2.4
fissure,7,1.362,2.7
fist,4,2.575,1.55
fisted,6,0.301,1.85
fisticuffs,10,1,4.95
fists,5,2.182,1.75
fit,3,3.468,1.05
fitful,6,0.477,2.6
fitfully,8,0.301,2.75
fitness,7,1.954,2.15
fits,4,2.816,1.3
fitted,6,1.954,1.95
fittest,7,1.623,2.55
fitting,7,2.456,1.8
fittings,8,1.322,2.4
five,4,4.163,1.5
fivefold,8,0.301,3.55
fivepence,9,,3.55
fivepenny,9,,4.2
fives,5,1.833,1.55
fix,3,3.646,1.55
fixate,6,0.903,2.5
fixation,8,1.556,2.55
fixations,9,0.301,2.85
fixative,8,,2.75
fixed,5,3.217,1.8
fixers,6,0.301,1.9
fixing,6,2.728,1.85
fixture,7,1.518,2.45
fixtures,8,1.826,2.55
fizz,4,1.505,1.85
fizzle,6,1.041,1.9
fizzled,7,0.778,2.2
fizzy,5,1.079,1.95
fjord,5,1.398,1.9
fjords,6,1,2.15
flabbergast,11,,5.5
flabby,6,1.623,2.5
flaccid,7,1.398,2.95
flag,4,2.951,1.45
flagella,8,,3.6
flagellated,11,,4.6
flagellation,12,0.845,4.55
flagellum,9,,4.6
flagpole,8,1.58,3.55
flagpoles,9,0.602,3.8
flagrancy,9,,3.55
flagrant,8,1.477,2.75
flagrantly,10,0.699,3.7
flags,5,2.245,1.8
flagship,8,1.699,3.45
flagstaff,9,1.633,4.5
flagstone,9,0.954,3.75
flail,5,1,1.85
flailed,7,0.699,2
flailing,8,1.38,2.05
flair,5,2.068,1.8
flak,4,1.74,1.45
flake,5,1.954,1.55
flakes,6,1.982,1.8
flaky,5,1.663,1.85
flamboyance,11,0.301,4.5
flamboyant,10,1.38,4.55
flamboyantly,12,,5.4
flame,5,2.665,1.5
flamed,6,0.954,1.65
flamenco,8,1.279,3.15
flames,6,2.583,1.75
flamethrower,12,1.477,5.95
flaming,7,2.117,1.75
flamingo,8,1.785,2.65
flammable,9,1.568,3.75
flan,4,1.94,1.35
flange,6,1.114,2
flank,5,2.375,1.55
flanked,7,1.23,2
flanking,8,1.322,1.9
flannel,7,1.851,2.5
flannels,8,0.477,2.7
flap,4,2.134,1.4
flapjack,8,1.146,3.7
flapped,7,0.845,1.7
flapper,7,1.041,1.8
flappers,8,0.301,2.5
flapping,8,1.935,1.8
flare,5,2.334,1.6
flared,6,1.23,1.7
flares,6,1.863,1.75
flaring,7,1.23,1.75
flash,5,2.894,1.65
flashback,9,1.74,3.85
flashbulb,9,0.602,4.45
flashed,7,1.819,1.7
flasher,7,1.255,1.9
flashes,7,2.134,1.75
flashing,8,2.215,1.85
flashlight,10,2.481,3.8
flashy,6,1.991,1.9
flask,5,1.763,1.85
flat,4,3.127,1.3
flatcar,7,0.778,2.95
flatfeet,8,,3.15
flatfoot,8,1.532,3.6
flathead,8,1.114,2.85
flatly,6,1,2.35
flatness,8,0.699,2.55
flatnesses,10,,3.6
flats,5,1.94,1.55
flatten,7,1.806,2.15
flattened,9,1.568,2.7
flattening,10,1.041,2.65
flatter,7,2.303,1.65
flattered,9,2.601,1.85
flattering,10,2.292,2.1
flatteringly,12,,3.75
flattery,8,1.851,2.2
flattest,8,0.602,2.45
flattop,7,1.176,2.9
flatulence,10,1.462,3.8
flatulent,9,1.079,3.55
flatus,6,0.301,1.95
flaunt,6,1.708,2
flaunted,8,1.041,2.4
flaunting,9,1.431,2.6
flautist,8,0.954,2.85
flautist's,10,,
flavor,6,2.408,2.3
flavored,8,1.415,2.5
flavoring,9,0.602,2.6
flavorings,10,0.778,3.45
flavors,7,1.826,2.5
flaw,4,2.193,1.35
flawless,8,1.909,2.75
flaws,5,1.964,1.7
flax,4,1.398,1.5
flaxen,6,0.903,2.25
flaxseed,8,0.778,2.95
flay,4,0.954,1.3
flea,4,2.23,1.7
fleabag,7,1.415,3.35
fleabite,8,,3.85
fleas,5,2.127,1.85
fleawort,8,,3.8
fleck,5,0.903,1.9
flecked,7,0.477,1.9
fled,4,2.352,1.45
fledgling,9,1.146,3.15
fledglings,10,,3.6
flee,4,2.369,1.45
fleece,6,1.778,2.45
fleeing,7,2.053,2.15
flees,5,1.322,1.55
fleet,5,2.733,1.75
fleetest,8,,2.85
fleeting,8,1.94,1.95
fleets,6,1.279,1.9
fleet's,7,,
Flemish,7,0.845,2.75
flesh,5,3.051,1.8
fleshy,6,1.477,2.5
flew,4,2.895,1.55
flex,4,1.708,1.65
flexed,6,1.146,2
flexibility,11,1.708,3.95
flexible,8,2.137,3.3
flick,5,2.412,1.7
flicked,7,0.954,1.75
flicker,7,1.556,1.9
flickered,9,0.903,2.85
flicking,8,1.301,1.85
flicks,6,1.643,1.85
flier,5,2.041,1.9
flies,5,2.856,1.7
flight,6,3.484,1.55
flights,7,2.371,1.75
flighty,7,1.447,1.95
flimsy,6,1.633,2.6
flinch,6,1.771,2.2
flinching,9,1.146,2.85
fling,5,2.258,1.7
flint,5,2.348,1.6
flintless,9,,2.9
flintstone,10,1,3.85
flinty,6,0.954,2.05
flip,4,2.863,1.6
flippant,8,1.279,3.4
flipped,7,2.405,1.75
flipper,7,1.663,1.75
flippers,8,1.568,2.25
flipping,8,2.176,1.9
flips,5,1.806,1.65
flirt,5,2.303,1.9
flirtation,10,1.568,3.05
flirtatious,11,1.176,4.15
flirted,7,1.69,2.15
flit,4,1.415,1.65
flitting,8,1.146,1.95
float,5,2.582,1.75
floated,7,1.839,1.8
floater,7,1.708,1.95
floating,8,2.692,1.95
floats,6,2.009,1.85
flock,5,2.377,1.65
flocked,7,1,1.75
flocking,8,1.322,1.8
flocks,6,1.279,1.75
flock's,7,,
floe,4,1.079,1.55
floes,5,0.778,1.6
flog,4,1.204,1.6
flogged,7,1.431,1.85
flood,5,2.465,1.75
flooded,7,2.155,1.95
floodgate,9,0.477,3.85
flooding,8,1.94,2.2
floodlight,10,0.778,3.65
floodlit,8,,3.55
floods,6,1.771,1.8
flood's,7,,
floor,5,3.71,1.85
floorboard,10,1.146,4.05
floorboards,11,1.699,4.5
flooring,8,1.362,2.1
floors,6,2.611,1.9
floorshow,9,1.079,4.3
floozy,6,1.602,2.35
flop,4,2.075,1.5
flopped,7,1.301,1.75
floppy,6,1.771,2.5
flops,5,1.431,1.75
flora,5,2.061,1.95
floral,6,1.58,2.1
Florence,8,2.439,2.85
Florentine,10,1.38,3.95
floriculture,12,,5.25
florid,6,0.699,2.1
Florida,7,2.973,2.65
Florida's,9,,
Floridian,9,0.477,3.6
Floridians,10,0.477,4.05
florist,7,2.093,2.7
florist's,9,,
floss,5,2.004,1.75
flotation,9,1.322,2.75
flotilla,8,0.301,3.55
flotillas,9,,3.8
flotsam,7,1.146,3
flounce,7,0.301,2.65
flounder,8,1.643,2.2
floundered,10,0.301,2.95
floundering,11,1.204,2.95
flounders,9,0.602,2.65
flour,5,2.209,1.85
floured,7,,1.95
flourish,8,1.623,2.8
flourished,10,1.079,3.3
flourishes,10,0.845,3.5
flourishing,11,1.279,3.6
flourmill,9,,3.95
floury,6,0.477,2.2
flouted,7,0.602,1.85
flouting,8,0.699,1.95
flow,4,2.846,1.4
flowchart,9,,4.4
flowed,6,1.556,1.8
flower,6,3.065,1.65
flowerbed,9,0.845,3.1
flowered,8,1.255,2.3
flowering,9,1.176,2.55
flowerless,10,0.301,3.55
flowerpot,9,1.176,3.65
flowers,7,3.385,1.8
flower's,8,,
flowery,7,1.544,2.25
flowing,7,2.338,1.8
flown,5,2.367,1.75
flows,5,2.155,1.5
Floyd,5,,1.9
Floyd's,7,,
flu,3,2.648,1.85
flubbed,7,0.477,2.4
fluctuate,9,1.079,3.5
fluctuates,10,1,3.8
fluctuating,11,1.204,3.65
fluctuation,11,1.255,3.35
fluctuations,12,1.23,3.65
flue,4,1.342,1.5
fluency,7,,2.9
fluent,6,1.778,2.2
fluently,8,1.342,2.9
fluff,5,1.863,1.9
fluffy,6,2.269,2.6
fluid,5,2.66,1.95
fluidity,8,0.699,2.95
fluids,6,2.225,2.45
fluke,5,1.954,1.75
flume,5,0.954,1.7
flung,5,1.653,1.75
flunk,5,1.968,1.8
fluoresce,9,0.477,3.4
fluorescence,12,,4.25
fluorescent,11,1.491,4.05
fluoresces,10,0.477,3.65
fluoride,8,1.114,3.15
fluorine,8,0.778,2.85
flurried,8,,2.8
flurry,6,1.398,2.4
flush,5,2.68,1.7
flushed,7,2.188,1.9
flushing,8,1.881,2.25
fluster,7,0.602,1.8
flustered,9,1.591,2.35
flute,5,2.037,1.75
fluted,6,,1.9
fluting,7,,1.95
flutist,7,0.301,2.75
flutter,7,1.653,1.85
fluttered,9,0.602,2
fluttering,10,1.58,2.45
flux,4,1.732,1.8
fluxes,6,,2
fly,3,3.637,1.75
flyaway,7,0.778,2.9
flycatcher,10,0.477,3.9
flyer,5,2.24,1.8
flyers,6,2.086,1.95
flying,6,3.412,1.9
Flynn,5,,2.25
Flynn's,7,,
flyover,7,0.699,2.75
flypaper,8,1.176,3.15
flyswatter,10,0.477,4
flyweight,9,0.602,3.7
flywheel,8,1.398,3.75
foal,4,1.176,1.55
foals,5,0.301,1.75
foam,4,2.255,1.7
foamed,6,0.477,1.75
foaming,7,1.415,1.8
foams,5,0.778,1.8
foam's,6,,
foamy,5,1.176,1.9
focal,5,1.477,1.85
focally,7,,2.35
foci,4,0.301,1.95
focus,5,3.176,1.95
focused,7,2.606,2.35
focuses,7,1.255,2.6
focusing,8,2.155,2.65
focussed,8,0.602,2.85
fodder,6,1.301,1.9
foe,3,1.978,1.3
foes,4,1.505,1.65
fog,3,2.684,1.4
fogbank,7,,3.5
fogey,5,0.602,1.9
fogged,6,1.322,1.75
foggy,5,1.826,1.8
foghorn,7,1.114,3.2
foglamp,7,,3.5
fogsignal,9,,3.95
foible,6,0.477,2.1
foibles,7,0.903,2.45
foil,4,1.799,1.5
foiled,6,1.301,1.55
fold,4,2.644,1.35
foldaway,8,,3.75
folded,6,2.173,1.9
folder,6,1.924,1.55
folders,7,1.544,1.9
folding,7,2.029,1.9
folds,5,1.724,1.65
foliage,7,1.447,2.8
folio,5,0.699,1.95
folk,4,2.563,1.8
folklike,8,,3.3
folklore,8,1.663,3.45
folklorist,10,,4.3
folks,5,3.589,1.8
folksongs,9,,4
folksy,6,0.954,2.7
folktale,8,0.778,3.55
follicle,8,1.114,3.35
follicular,10,0.602,4.4
follies,7,1.643,2.1
follow,6,3.798,1.8
followed,8,3.24,2.35
follower,8,1.544,2.65
followers,9,2.149,2.95
following,9,3.364,2.75
follows,7,2.571,2
folly,5,1.875,1.5
fond,4,2.799,1.45
fonder,6,1.322,1.6
fondle,6,1.415,2.1
fondly,6,1.556,1.95
fondness,8,1.431,2.55
fondue,6,1.681,2.65
font,4,1.69,1.75
food,4,3.896,1.45
foodless,8,0.477,2.45
foods,5,2.19,1.55
foodstuff,9,0.477,4.4
foodstuffs,10,1,4.75
fool,4,3.659,1.45
fooled,6,2.72,1.8
foolery,7,0.699,2.65
foolhardy,9,1.342,4
fooling,7,2.797,1.75
foolish,7,2.951,2.6
foolishly,9,1.532,3.85
foolishness,11,2.029,4.1
foolproof,9,1.978,4.15
fools,5,2.834,1.7
foot,4,3.52,1.4
footage,7,2.626,2.4
football,8,3.282,2.85
footballer's,12,,
footballs,9,1.079,3.55
football's,10,,
footbath,8,0.699,3.3
footboard,9,0.301,3.2
footbridge,10,0.845,4.2
footer,6,0.778,1.85
foothill,8,0.778,3.1
foothills,9,1.431,3.55
foothold,8,1.477,3.15
footing,7,1.724,1.8
footlight,9,0.301,3.1
footloose,9,1.633,3.9
footmark,8,0.301,3.05
footnote,8,1.279,3.2
footpad,7,0.699,2.95
footpath,8,1.176,3.4
footprint,9,1.748,3.9
footrace,8,0.602,2.9
footsie,7,1.301,2.7
footsore,8,,2.9
footstep,8,1.146,2.9
footsteps,9,2.509,3.55
footstool,9,0.954,3.85
footsure,8,,2.85
footwear,8,1.613,3.1
footwork,8,1.681,2.75
for,3,5.546,1.3
forage,6,1.23,1.85
forages,7,,2.1
foraging,8,1.176,2.55
foray,5,1.362,1.85
forays,6,0.602,1.95
forbade,7,1.362,2.7
forbear,7,0.954,2.55
forbearance,11,1.204,4.55
forbears,8,0.699,2.6
Forbes,6,,1.95
Forbes's,8,,
forbid,6,2.64,2.1
forbidden,9,2.589,3.6
forbidding,10,1.322,3.55
forbids,7,1.756,2.6
force,5,3.557,1.7
forced,6,3.13,1.75
forceful,8,1.653,3.2
forcefulness,12,,4.15
forceps,7,1.544,2.7
forces,6,3.027,1.75
force's,7,,
forcibly,8,1.568,3.35
forcing,7,2.442,1.9
ford,4,2.769,1.35
fords,5,1.362,1.5
fore,4,2.134,1
forearm,7,1.708,2.5
forearms,8,1.398,2.65
forebear,8,0.602,2.6
forebearing,11,,3.7
forebears,9,1,3
forebode,8,,3.05
foreboding,10,1.38,3.55
forecast,8,1.987,2.55
forecasters,11,0.477,3.65
forecasting,11,1,3.7
forecastle,10,0.845,3.65
forecasts,9,1.079,2.9
foreclose,9,1.544,3.45
foreclosed,10,1.146,3.75
foreclosing,11,0.903,3.8
foreclosure,11,1.431,4.45
forefather,10,0.301,3.5
forefathers,11,1.623,3.75
forefinger,10,1.176,3.65
forefingers,11,0.477,4.05
forefront,9,1.322,3.7
forego,6,1.477,2.45
foregoing,9,0.845,2.8
foregone,8,1.342,2.7
foreground,10,1.362,3.65
forehand,8,0.778,2.75
forehead,8,2.603,2.75
foreheads,9,1.279,3.45
foreign,7,3.056,2.75
foreigner,9,2.179,3.35
foreigners,10,2.215,3.65
foreknowledge,13,0.301,6.15
foreknown,9,,3.9
foreman,7,2.453,2.25
foreman's,9,,
foremast,8,0.301,2.6
foremost,8,1.94,2.8
forensic,8,2.303,3.65
foreordain,10,,4.4
forepaws,8,,3
foreplay,8,2.111,2.85
forerunner,10,0.699,3.95
forerunners,11,,4.2
foresaw,7,1.322,2.75
foresee,7,1.708,2.65
foreseeable,11,1.301,4.45
foreseeing,10,0.301,3.55
foreseen,8,1.491,2.65
foreshadow,10,0.845,4.6
foresight,9,1.591,3.25
foreskin,8,1.279,2.85
forest,6,2.984,1.9
forester,8,0.602,2.55
forestry,8,1.079,2.85
forests,7,1.914,2.3
foretell,8,1.23,3.25
forethought,11,1,4.45
forever,7,3.656,2.6
forewarn,8,0.301,2.8
foreword,8,1,2.8
forfeit,7,2.201,2.8
forfeited,9,1.23,3.45
forfeiture,10,1.041,4.1
forgave,7,2.072,2.6
forge,5,2.223,1.6
forged,6,2.337,1.7
forgeries,9,1.491,3.65
forgery,7,2.004,2.5
forget,6,4.15,1.85
forgetful,9,1.591,3.65
forgetfulness,13,1.447,4.45
forgetting,10,2.798,3.5
forging,7,1.613,1.8
forgive,7,3.593,2.6
forgiven,8,2.521,2.8
forgiveness,11,2.608,4.3
forgiving,9,2.107,3
forgo,5,1.204,1.8
forgone,7,0.301,2.4
forgot,6,3.703,2.25
forgotten,9,3.248,3.65
fork,4,2.654,1.45
forked,6,1.176,1.75
forklift,8,1.699,3.7
forks,5,2.057,1.65
forlorn,7,1.342,2.95
form,4,3.339,1.35
formal,6,2.628,1.9
formaldehyde,12,1.544,5.75
formalist,9,,2.85
formalities,11,1.699,3.5
formality,9,2.045,2.6
formalize,9,0.845,2.55
formalized,10,0.699,2.95
formally,8,2.029,2.5
format,6,1.74,2
formation,9,2.31,2.6
formations,10,1.532,2.8
formative,9,1.204,2.75
formats,7,1,2.6
formed,6,2.384,1.7
former,6,2.97,1.85
formerly,8,2.093,2.8
Formica,7,1.23,2.9
formidable,10,1.944,3.85
formidably,10,0.301,4
forming,7,2.149,1.8
formless,8,0.699,2.7
forms,5,2.764,1.5
formula,7,2.604,2.6
formulae,8,0.699,2.95
formulaic,9,0.778,3.45
formulas,8,1.362,2.85
formulate,9,1.491,2.6
formulated,10,1.255,2.85
formulating,11,0.903,3.45
formulation,11,1.146,2.85
formulations,12,0.301,3.35
fornicate,9,1.415,3.55
fornication,11,1.653,3.65
forsake,7,1.672,2.6
forsaken,8,1.892,3.1
forsakes,8,0.602,2.75
forsooth,8,0.602,3.8
forswear,8,0.699,3.05
forsythia,9,,4.75
fort,4,2.897,1.2
forte,5,1.491,1.65
forth,5,2.906,1.65
forthcoming,11,1.851,4.25
forthright,10,1.544,3.4
forthrightly,12,0.602,5.05
forthrightness,14,0.477,5.8
forthwith,9,1.568,3.9
forties,7,1.431,2
fortieth,8,0.845,3.1
fortification,13,0.778,2.75
fortifications,14,1.079,3.55
fortified,9,1.505,2.85
fortify,7,1.114,2.65
fortissimo,10,0.477,4.9
fortitude,9,1.532,3.2
fortnight,9,1.672,3.3
fortress,8,2.238,2.85
fortresses,10,1.079,3.4
forts,5,1.322,1.55
fortuitous,10,1.322,3.9
fortunate,9,2.623,3.1
fortunately,11,2.648,4.15
fortune,7,3.182,2.7
fortunes,8,2.111,2.8
forty,5,2.732,1.75
forum,5,2.021,1.9
forums,6,0.602,2
forward,7,3.567,2.5
forwarded,9,1.653,3.5
forwarding,10,1.756,3.4
forwards,8,1.857,2.7
forwent,7,,2.6
fossil,6,1.903,2.8
fossilize,9,,3.65
fossilized,10,1.079,3.7
foster,6,2.788,1.7
fostered,8,1.255,2.5
fostering,9,0.903,2.5
fosters,7,1.041,1.9
fought,6,3.135,1.8
foul,4,2.869,1.65
fouled,6,1.919,1.9
foulest,7,1.146,2.65
fouling,7,1.146,1.95
foully,6,0.954,1.9
found,5,4.305,1.55
foundation,10,2.87,3.35
foundations,11,1.778,3.45
foundation's,12,,
founded,7,2.201,1.65
founder,7,2.037,1.75
foundering,10,1,2.5
founders,8,1.591,2.2
founding,8,1.954,1.7
foundling,9,1,2.4
foundry,7,1.342,2.45
fountain,8,2.548,2.75
fountainhead,12,0.903,4.8
fountains,9,1.708,2.85
four,4,4.115,1.4
foureyes,8,,3.15
fourfold,8,,3.75
fourpence,9,0.477,3.75
fourpenny,9,,3.8
fours,5,2.025,1.6
foursome,8,1.532,3.35
foursquare,10,0.699,4.75
fourteen,8,2.524,3.15
fourteenth,10,1.732,4.05
fourth,6,3.13,2.2
fowl,4,1.556,1.5
fowler,6,2.308,1.95
fox,3,3.043,1.6
foxglove,8,0.699,3.7
foxhole,7,1.69,2.85
foxholes,8,1.342,3.25
foxhound,8,0.477,3.45
foxhunt,7,0.602,3.35
fox's,5,,
foxtrot,7,1.748,3.45
foxy,4,2.196,1.85
foyer,5,1.663,1.9
fracas,6,1.041,2.05
fraction,8,2.021,1.85
fractional,10,0.301,2.65
fractionated,12,,4.25
fractionation,13,,4.55
fractions,9,1.532,2.1
fractious,9,0.954,2.55
fracture,8,2.423,2.7
fractured,9,2.223,2.75
fractures,9,2.134,2.7
fragile,7,2.42,2.8
fragility,9,0.903,2.85
fragment,8,1.987,2.75
fragmentarily,13,,5.4
fragmentary,11,0.477,4.2
fragmentation,13,0.903,3.7
fragmented,10,1.146,3.45
fragments,9,2.134,2.85
fragrance,9,1.785,3.45
fragrances,10,0.699,3.7
fragrant,8,1.568,2.75
frail,5,1.914,1.75
frailest,8,,2.9
frailty,7,1.279,2.7
frame,5,2.857,1.75
framed,6,2.455,1.65
framer,6,0.602,1.85
