Word,Length,LgSUBTLWF,OLD,PLD
Chablis,7,1.415,2.75,2.35
Chad,4,2.565,1.65,1.7
chafe,5,1.146,1.9,1.85
chaffing,8,0.301,2.45,1.9
chafing,7,1.532,1.9,1.9
chagrin,7,1.079,2.9,2.95
chain,5,3.035,1.8,1.7
chainlike,9,,3.45,3.45
chains,6,2.589,1.85,1.85
chair,5,3.4,1.7,1.5
chairing,8,1.041,2.15,1.75
chairman,8,2.783,2.8,2.85
chairmanship,12,1.079,4.55,4.25
chairmanships,13,,5.35,5.2
chairmen,8,0.477,2.7,2.85
chairperson,11,0.845,4.75,5.85
chairs,6,2.703,1.85,1.7
chairwoman,10,1.041,4.35,4.65
chaise,6,1.204,1.95,1
chalet,6,1.431,2,1.8
chalice,7,1.518,2.65,2.25
chalk,5,2.265,1.95,1.45
chalked,7,1.255,2,1.75
chalky,6,0.845,2.35,1.75
challenge,9,3.006,3.15,3.1
challenged,10,2.316,3.3,3.35
challenger,10,1.892,3.45,3.5
challenges,10,2.041,3.3,3.45
challenging,11,2.29,3.7,3.55
chamber,7,2.814,2.05,2.6
chambered,9,0.602,2.6,2.75
chamberlain,11,1.839,4.4,4.5
chambermaid,11,1.505,4.3,5.05
chambermaids,12,0.699,4.95,5.7
chamberpot,10,,4.2,5.3
chambers,8,2.473,2.55,2.75
chameleon,9,1.58,3.8,2.9
chamois,7,1.079,2.75,1.7
champ,5,2.888,1.6,1.65
champagne,9,3.203,3.6,2.6
champaign,9,0.778,3.4,2.6
champion,8,3.029,2.85,3.25
champions,9,2.328,3.3,3.75
championship,12,2.7,5.1,5.2
championships,13,1.935,5.7,5.95
champs,6,1.756,1.75,1.9
chance,6,4.09,1.75,1.7
chanced,7,1.114,1.75,1.85
chancel,7,,1.85,2.2
chancellery,11,0.903,4.3,4.65
chancellor,10,2.324,3.65,3
chanceries,10,0.301,3.6,3.8
chances,7,3.168,1.8,2.05
chancy,6,1.041,1.95,2.1
chandelier,10,1.863,3.5,3.5
chandeliers,11,1.255,3.8,4
change,6,4.088,1.8,2.35
changeable,10,1.146,3.55,3.55
changed,7,3.712,1.65,2.65
changeling,10,1.079,3.15,3.55
changes,7,3.171,1.8,2.7
changing,8,3.127,1.85,2.6
channel,7,3.095,2.05,1.75
channeled,9,0.778,2.9,2.1
channels,8,2.449,2.5,1.9
chant,5,2.068,1.85,1.75
chanted,7,1.255,1.7,1.9
chanter,7,0.301,1.7,2.45
chantey,7,0.699,1.9,1.55
chanting,8,2.334,1.8,1.9
chants,6,1.532,1.9,1.9
chaos,5,2.681,1.95,1.85
chaotic,7,1.763,2.9,2.7
chap,4,2.512,1.45,1.35
chapel,6,2.61,1.95,1.85
chapels,7,1.079,2.25,2.05
chaperone,9,2.004,3.75,3.5
chaperoned,10,0.954,3.85,3.85
chaplain,8,2.068,3.05,2.75
chaplains,9,1,3.2,2.8
chapped,7,1.301,1.8,1.6
chaps,5,2.121,1.6,1.6
chapter,7,2.782,1.8,2.25
chapters,8,2.009,2.1,2.65
chapter's,9,,,
char,4,1.863,1.55,1.5
character,9,3.289,3,2.85
characteristic,14,1.785,5.15,5.45
characteristically,18,0.602,7.1,6.45
characteristics,15,2.013,5.6,6.2
characterization,16,0.903,5.75,5.55
characterizations,17,0.301,6.25,6.3
characterize,12,1.556,4.35,4.15
characterized,13,1.568,4.65,4.35
characterizes,13,0.477,4.45,5.35
characterizing,14,0.602,5,4.95
characters,10,2.688,3.4,2.8
charade,7,2.053,2.65,2.25
charcoal,8,1.959,3.65,3
chard,5,0.778,1.6,1.6
charge,6,3.659,1.8,1.85
chargeable,10,,3.55,3.65
charged,7,2.868,1.65,2.45
charger,7,1.799,1.75,2.6
charges,7,3.178,1.75,2.65
charging,8,2.506,1.9,2.6
chariot,7,2.017,2.75,2.95
charioteer,10,0.477,3.75,4.95
charisma,8,1.708,3.3,3.4
charitable,10,2.021,3.15,3.45
charitably,10,0.778,3.55,3.8
charities,9,1.771,2.9,2.8
charity,7,2.925,2.45,2.55
charlatan,9,1.653,3.65,3.15
charlatans,10,1.114,3.8,3.65
Charles,7,3.416,1.95,2.1
Charles's,9,,,
Charleston,10,2.312,3.9,3.95
Charlie,7,3.753,2.75,1.95
Charlotte,9,3.053,3.75,2.15
charm,5,2.9,1.7,1.7
charmed,7,2.494,1.75,1.8
charmer,7,1.806,1.85,2.15
charming,8,3.157,1.9,2.3
charmingly,10,1.255,3.45,3.6
charms,6,2.24,1.9,1.85
charred,7,1.591,1.85,1.6
chart,5,2.685,1.65,1.65
charted,7,1.279,1.65,1.9
charter,7,2.182,1.6,1.75
chartered,9,1.663,2.45,2.55
charters,8,0.954,1.85,2.45
charting,8,1.255,1.75,2.1
chartings,9,,2.5,2.75
chartreuse,10,1.447,3.95,3.45
chartroom,9,,3.55,3.7
charts,6,2.524,1.8,1.95
chase,5,3.224,1.45,1.7
chased,6,2.635,1.75,1.8
chaser,6,1.826,1.85,1.85
chases,6,1.819,1.7,1.9
chasing,7,2.97,1.85,1.9
chasm,5,1.279,1.9,2.15
chassis,7,1.532,2.65,1.65
chaste,6,1.491,1.8,1.8
chasten,7,0.477,1.9,2.1
chastise,8,0.845,2.8,3.75
chastisement,12,0.699,4.85,5.35
chastity,8,1.875,2.8,3.2
chat,4,2.92,1.4,1.6
chateau,7,2.114,2.95,1.9
Chattanooga,11,1.591,5.45,5.1
chatted,7,1.301,1.8,1.75
chattel,7,1.204,1.9,1.8
chattels,8,0.778,2.45,1.9
chatter,7,2.378,1.6,1.7
chatterbox,10,1.38,3.8,5
chattered,9,0.602,2,1.8
chattering,10,2.324,2.55,2.3
chatting,8,2.236,1.9,1.8
chatty,6,1.716,1.95,2
Chaucer,7,1.602,2.3,2.1
chauffeur,9,2.459,3.9,2.55
chauffeured,11,0.845,4.6,2.75
chauffeur's,11,,,
chauvinism,10,1.114,4.15,4.2
chauvinist,10,1.491,4.05,3.75
cheap,5,3.267,1.8,1.6
cheapen,7,1.23,2.6,2.3
cheaper,7,2.401,1.95,1.85
cheapjack,9,0.301,4.2,4
cheaply,7,1.518,2.75,2.15
cheapskate,10,1.462,4.7,4.3
cheat,5,2.955,1.7,1.45
cheated,7,2.798,1.9,1.8
cheating,8,2.977,1.9,1.85
check,5,4.153,1.7,1.4
checkbook,9,2.083,3.7,3.6
checked,7,3.377,1.95,1.65
checker,7,1.756,2.25,1.9
checkerboard,12,0.778,5.2,4.75
checking,8,3.219,2.2,1.9
checklist,9,1.602,3.55,3.75
checkmate,9,1.959,3.75,2.95
checkoff,8,,3.4,3
checkout,8,1.813,3,3.05
checkpoint,10,1.982,4.35,4.55
checkroom,9,1.176,3.55,3.75
checks,6,2.881,1.8,1.6
checkup,7,2.033,2.7,2.9
cheddar,7,1.964,2.95,1.9
cheek,5,2.563,1.7,1.1
cheekbone,9,1.176,3.8,3.7
cheekbones,10,1.505,4.6,4.25
cheeks,6,2.354,1.75,1.7
cheeky,6,1.813,1.9,1.85
cheep,5,0.845,1.75,1.6
cheer,5,2.979,1.75,1.2
cheered,7,1.799,1.95,1.55
cheerful,8,2.281,3.25,2.7
cheerfully,10,1.415,3.65,2.85
cheerfulness,12,0.477,4.2,3.6
cheering,8,2.84,2,1.75
cheerio,7,1.929,2.75,3.35
cheerleader,11,2.518,4.65,4.2
cheerleaders,12,2.167,5.2,4.6
cheerless,9,0.477,2.9,2.6
cheers,6,3.064,1.85,1.5
cheery,6,1.74,1.8,1.65
cheese,6,3.299,2,1.5
cheesecake,10,2.075,4.75,3.7
cheesecloth,11,0.477,5.55,4.2
cheetah,7,2.072,3,1.95
chef,4,2.783,1.85,1.65
chemical,8,2.763,2.7,2.4
chemically,10,1.724,3.2,2.55
chemicals,9,2.465,3.5,2.8
chemise,7,0.301,2.6,2.4
chemist,7,1.982,2.45,2.3
chemistry,9,2.646,3.55,3.3
chemists,8,1.301,2.75,2.75
chemist's,9,,,
chemotherapy,12,1.778,5.5,5.55
chenille,8,1.204,3.55,2.5
cherish,7,2.358,2.7,2.1
cherished,9,1.819,3.3,2.7
cherishing,10,0.903,3.5,2.8
Cherokee,8,1.771,3.3,2.75
Cherokees,9,1.041,3.75,3.1
cherries,8,2.004,2.8,1.9
cherry,6,2.841,1.9,1.7
cherub,6,1.505,2.75,2.2
cherubim,8,0.477,3.9,3.55
Chesapeake,10,1.176,4.7,3.75
Cheshire,8,1.204,3.6,3.5
chess,5,2.581,1.9,1.6
chessboard,10,1.255,3.95,3.7
chest,5,3.32,1.75,1.65
chestnut,8,1.819,3.65,2.85
chestnuts,9,1.708,3.8,3.45
chests,6,1.724,1.8,1.85
chesty,6,1.176,2.1,2.1
Chevrolet,9,1.415,3.9,3
chevron,7,1.23,2.95,2.65
Chevy,5,2.245,2,1.75
chew,4,2.666,1.75,1.5
chewed,6,2.104,2,1.8
chewing,7,2.45,2.1,1.85
Cheyenne,8,2.389,3.55,1.85
Cheyennes,9,0.699,3.8,1.9
chi,3,2.56,1.7,1
Chianti,7,1.544,2.9,1.95
chic,4,2.079,1.75,1
Chicago,7,3.323,3.3,3.2
Chicago's,9,,,
chicanery,9,1.114,3.8,3.8
Chicano,7,1.591,2.9,3
chick,5,3.126,1.55,1.15
chicken,7,3.498,2.15,1.95
chickenfeed,11,0.602,4.4,4.65
chickenhearted,14,0.301,6.1,6.75
chickenpox,10,1.38,4.35,5.5
chickens,8,2.717,2.55,2.65
chickpea,8,,3,2.95
chicks,6,2.871,1.75,1.65
chickweed,9,0.301,3.45,3.75
chicory,7,0.954,2.95,2.85
chide,5,0.778,1.75,1.6
chided,6,0.699,1.95,1.9
chiding,7,0.301,1.95,1.9
chief,5,3.599,1.85,1.6
chiefdom,8,,3.55,3.1
chiefdoms,9,,4.2,3.65
chiefly,7,1.079,2.8,2.5
chiefs,6,2.386,2,1.9
chief's,7,,,
chieftain,9,1.204,3.8,2.85
chieftains,10,0.845,4.15,3.55
chiffon,7,1.415,3,2.7
chigger,7,0.845,2.5,1.8
chiggers,8,0.477,2.85,2.3
Chihuahua,9,1.863,5.15,3.95
child,5,3.905,1.85,1.85
childbearing,12,1.114,4.9,5.65
childbirth,10,1.898,4.65,5.15
childhood,9,2.86,4.3,4.2
childhood's,11,,,
childish,8,2.4,3.15,3.15
childishly,10,0.699,4.65,4.35
childishness,12,0.954,4.6,4.6
childless,9,1.491,2.95,3.35
childlike,9,1.518,3.6,4.25
children,8,3.951,3.45,3.7
children's,10,,,
child's,7,,,
Chile,5,1.771,1.65,1.8
chili,5,2.583,1.85,1.8
chill,5,2.919,1.65,1.2
chilled,7,1.857,2,1.45
chillier,8,,2.9,2.65
chilling,8,1.919,1.95,1.8
chills,6,1.996,1.85,1.6
chilly,6,2.344,1.85,1.8
chime,5,1.681,1.65,1.75
Chimera,7,1.672,2.8,2.85
chimes,6,1.944,1.75,1.8
chimney,7,2.33,2.6,2.25
chimneypiece,12,,5.65,4.6
chimneys,8,1.477,2.8,2.8
chimneystack,12,,5.6,5.4
chimneysweep,12,,5.85,5.5
chimp,5,2.188,1.65,1.8
chimpanzee,10,1.799,4.85,5.2
chin,4,2.812,1.45,1.5
China,5,3.103,1.9,1.95
Chinaman,8,1.968,3.2,3.55
China's,7,,,
Chinatown,9,2.423,3.9,5.1
chinaware,9,0.477,3.9,4.8
chinchilla,10,1.447,4.85,4.55
chines,6,,1.75,1.65
Chinese,7,3.356,2.6,2.45
chinked,7,0.301,1.95,2.15
chinless,8,0.301,2.5,2.65
Chinook,7,0.903,3,2.7
chins,5,1.556,1.7,1.65
chinstrap,9,,4,4.4
chip,4,3.022,1.35,1.2
chipmunk,8,1.633,3.8,3.9
chipped,7,2.097,1.65,1.55
Chippendale,11,0.954,4.9,4.65
chipper,7,1.826,1.8,1.75
chipping,8,1.491,1.8,1.65
chips,5,2.919,1.6,1.55
chiropractor,12,1.663,5.7,5.7
chiropractor's,14,,,
chirp,5,1.491,1.9,1.85
chirped,7,,2.05,2.3
chirping,8,1.708,2.15,2.45
chisel,6,1.663,1.95,1.9
chiseled,8,1.301,2.8,2.25
chisels,7,0.602,2.45,2.5
chit,4,1.176,1.7,1.45
chitchat,8,1.833,3.85,4.85
chivalrous,10,1.279,4.6,3.8
chivalry,8,1.792,3.4,2.9
chive,5,,1.75,1.85
chives,6,1.204,1.8,1.85
chloride,8,1.672,2.7,2.7
chlorides,9,,3.1,2.9
chlorinate,10,0.477,3.7,3.6
chlorine,8,1.591,2.6,2.45
chloroform,10,1.716,4.95,3.95
chlorophyll,11,1.114,5.8,3.3
chock,5,1,1.55,1.45
chockfull,9,,4.25,3.75
chocks,6,1.041,1.75,1.7
chocolate,9,3.176,3.55,2.9
Choctaw,7,1.301,3.4,2.45
Choctaws,8,,3.8,3.1
choice,6,3.697,1.95,2
choices,7,2.804,2.35,2.7
choicest,8,0.778,2.85,3.55
choir,5,2.435,1.95,1.75
choirboy,8,1.079,3.85,4.25
choirmaster,11,,4.45,5
choir's,7,,,
choke,5,2.52,1.75,1.55
choked,6,2.245,1.85,1.85
choker,6,1.204,1.85,1.95
choking,7,2.417,1.95,1.95
cholera,7,1.756,2.75,2.75
choleric,8,0.602,3.2,2.95
cholesterol,11,1.982,4.85,4.75
chomp,5,1.146,1.8,1.8
choose,6,3.389,1.85,1.55
chooses,7,2.297,2.25,2.5
choosing,8,2.442,2.2,1.95
choosy,6,1.491,2.3,1.95
chop,4,2.842,1.45,1.4
chopfallen,10,,4.85,5.15
chophouse,9,0.699,3.45,4.35
chopped,7,2.367,1.75,1.65
chopper,7,2.776,1.65,1.85
chopping,8,2.037,1.75,1.85
choppy,6,1.146,2.4,1.85
chops,5,2.444,1.6,1.6
chopstick,9,1.146,3.75,3.85
choral,6,1.079,2.05,1.55
chorale,7,0.602,2.45,1.95
chord,5,1.973,1.8,1
chords,6,1.892,1.8,1.4
chore,5,1.716,1.65,1.6
choreographed,13,1.279,4.1,4.5
choreographer,13,1.732,3.8,4.3
choreographers,14,0.845,4.3,4.95
choreographic,13,,4.05,4.45
choreography,12,1.663,3.65,4.2
chores,6,2.332,1.7,1.8
chorine,7,,2.5,2
chortle,7,0.778,2.55,2.6
chortled,8,,2.7,2.85
chortling,9,0.477,2.9,3.45
chorus,6,2.493,1.9,1.25
chorused,8,,2.75,1.9
choruses,8,1.114,2.6,1.85
chose,5,2.979,1.55,1.75
chosen,6,2.967,1.95,2.7
chow,4,2.545,1.7,1.75
chowder,7,1.919,2.5,1.9
chowders,8,,2.75,2.45
Christ,6,3.663,2,1.95
Christen,8,1.518,2.75,1.95
Christendom,11,1.23,4.55,3.75
christened,10,1.477,3.35,2.4
christening,11,1.591,3.5,2.65
Christian,9,2.91,3.15,2.7
Christianity,12,1.756,4.6,5.4
Christianizing,14,,5.65,5.45
Christians,10,2.258,3.45,3.4
Christine,9,2.566,2.95,2.45
Christine's,11,,,
Christlike,10,,3.7,3.85
Christmas,9,3.796,3.6,2.85
Christopher,11,2.967,4.8,3.9
Christ's,8,,,
chromatic,9,0.602,2.9,2.5
chromatics,10,,3.55,3.05
chromatogram,12,,5.45,5.65
chromatography,14,0.699,5.15,5.7
chrome,6,1.819,2.2,1.4
chromed,7,0.301,2.7,1.7
chromic,7,1,2.55,2.3
chromium,8,1.532,3.6,2.85
chromosome,10,1.591,4.7,3.9
chronic,7,2.403,2.65,1.95
chronically,11,1.079,3.35,2.45
chronicle,9,1.909,3.3,2.3
chronicled,10,0.845,3.5,3
chroniclers,11,0.477,4.25,3.75
chronicles,10,1.146,3.35,2.85
chronicle's,11,,,
chronograph,11,0.477,3.95,3.8
chronological,13,1.255,4.2,4
chronologically,15,1.079,5.1,4.4
chronology,10,1.041,3.8,3.4
chronometer,11,1.079,4.85,3.95
chrysalis,9,0.699,4.15,3.2
chrysanthemum,13,1.114,6.75,5.4
chrysanthemums,14,1.041,7.5,5.9
Chrysler,8,1.653,3.5,2.9
Chrysler's,10,,,
chubby,6,2.33,2.35,1.9
chuck,5,3.04,1.7,1.35
chuckle,7,1.914,2.35,1.9
chuckled,8,0.699,2.45,2.2
chuckles,8,2.824,2.55,2.25
chug,4,2.079,1.85,1.85
chugging,8,1.204,2.35,1.95
chum,4,2.196,1.85,1.8
chumminess,10,,3.9,6.6
chummy,6,1.74,2.2,1.8
chump,5,2.322,1.65,1.7
chunk,5,2.326,1.75,1.8
chunks,6,1.982,1.9,1.85
chunky,6,1.857,2.05,2.15
church,6,3.551,2.4,2.2
churches,8,2.193,2.65,2.9
churchgoers,11,0.778,4.65,5.6
churchgoing,11,0.903,4.4,4.85
Churchill,9,2.158,3.7,3.2
Churchill's,11,,,
churchly,8,,3.4,3.45
churchmen,9,0.903,3.65,3.7
church's,8,,,
churchwarden,12,,5.65,6.75
churchyard,10,1.23,4.4,5.25
churlish,8,0.778,2.95,2.7
churn,5,1.505,1.95,1.8
churned,7,1.279,2,1.95
churning,8,1.415,2,2.2
churns,6,1,1.95,1.85
chute,5,2.267,1.95,1.2
chutney,7,1.38,2.7,2.75
ciao,4,2.398,2,1.75
cicada,6,0.602,2.85,2.75
cicadas,7,0.845,3.15,2.8
Cicero,6,1.924,2.85,2.9
Cicero's,8,,,
cider,5,1.991,1.85,1
ciderpress,10,,4.1,4.65
cigar,5,2.82,2,2.35
cigarette,9,3.133,3.75,4.1
cigarettes,10,2.957,4.15,4.6
cigars,6,2.533,2.65,2.65
cilia,5,0.477,2.3,1.85
ciliated,8,,2.9,4.8
cinch,5,2.263,1.75,1.8
cinches,7,0.778,1.85,1.9
Cincinnati,10,2.217,4.85,4.85
cinder,6,1.602,1.55,1.35
Cinderella,10,2.486,4.65,4.4
cinders,7,1.322,1.75,1.65
cinema,6,2.299,2.9,2.4
cinematic,9,1.431,3.65,3.6
cinematography,14,1.362,5.8,6.5
cinnamon,8,2.185,3.9,2.6
cipher,6,1.887,1.95,1.75
ciphers,7,0.845,2.65,1.9
circa,5,1.556,2.5,1.9
circadian,9,0.845,3.7,4.85
circle,6,3.041,2.25,1.85
circled,7,1.857,2.55,2.4
circles,7,2.612,2.45,2.35
circlet,7,,2.65,2.55
circling,8,2.199,2.9,2.7
circuit,7,2.533,2.7,1.8
circuitous,10,0.477,3.85,4.9
circuitry,9,1.653,3.65,3.2
circuits,8,2.143,2.85,2.4
circular,8,1.914,2.95,3.4
circulate,9,1.681,2.8,3.3
circulated,10,1.431,3.05,3.55
circulating,11,1.716,3.3,3.95
circulation,11,2.269,3.05,3.7
circulatory,11,1.38,3.6,5.5
circumcise,10,0.699,4.4,4.05
circumcision,12,1.544,4.65,5.15
circumference,13,1.591,5.05,6.35
circumflex,10,,4.25,6.1
circumlocution,14,,5.55,6.4
circumnavigate,14,0.845,6.5,7.05
circumnavigation,16,,6.3,7.2
circumpolar,11,,5.4,5.75
circumscribe,12,,4.8,5.65
circumscribed,13,0.477,5.05,5.25
circumscribing,14,,5.8,6.25
circumscription,15,,4.9,5.55
circumscriptions,16,,5.55,6.15
circumspect,11,1.041,4.5,5.35
circumspection,14,0.301,5,5.25
circumspectly,13,,5.7,6.55
circumstance,12,2.025,4.75,5.1
circumstances,13,3.069,5.15,6.25
circumstantial,14,1.935,5.8,5.8
circumvent,10,1.431,4,5.05
circumvention,13,,5.05,5.15
circus,6,2.94,2.25,1.75
cirrhosis,9,1.431,4.2,2.95
cirrus,6,0.845,2.55,1.8
cistern,7,1.079,2.4,2.25
citadel,7,1.38,3.05,3.3
citation,8,1.914,2.2,2.6
citations,9,1.544,2.55,2.85
cite,4,1.69,1.55,1
cited,5,1.591,1.9,1.75
cites,5,0.778,1.7,1.2
cities,6,2.652,1.95,1.85
citing,6,1.532,1.95,1.3
citizen,7,2.833,3,2.75
citizenry,9,1.301,4.4,4.35
citizens,8,2.786,3.3,3.05
citizen's,9,,,
citizenship,11,1.839,5.25,5.25
citric,6,0.477,2.55,2
citron,6,0.301,2.6,2.05
citrus,6,1.431,2.35,1.9
city,4,3.936,1.9,1.45
city's,6,,,
cityscapes,10,,4.85,4.85
citywide,8,1.415,4,4.6
civic,5,2.045,2.2,1.95
civil,5,2.911,2.35,1.75
civilian,8,2.681,3,2.75
civilians,9,2.487,3.35,3.2
civility,8,1.462,2.75,2.45
civilization,12,2.629,3.6,3.35
civilizational,14,,5.2,5.1
civilizations,13,1.643,4.15,4.15
civilize,8,0.954,3.05,2.75
civilized,9,2.5,3.3,2.75
civilizing,10,0.778,3.6,3.6
clack,5,1.362,1.55,1
clad,4,1.041,1.5,1.15
claim,5,3.113,1.85,1.55
claimant,8,,2.9,2.45
claimants,9,0.301,3.45,2.7
claimed,7,2.572,2,1.75
claiming,8,2.328,2.15,1.9
claims,6,2.852,1.9,1.75
Clair,5,1.681,1.7,1.5
Claire,6,3.191,1.9,1.5
clairvoyance,12,1.041,5.4,4.65
clairvoyant,11,1.568,5.2,4.7
clam,4,2.303,1.45,1.15
clambake,8,1.398,3.75,3.9
clamber,7,0.477,2.1,1.95
clambered,9,0.699,2.6,2.4
clambering,10,,2.85,2.75
clammy,6,1.491,2.25,1.8
clamor,6,0.903,2.25,1.7
clamored,8,0.301,2.7,1.8
clamoring,9,1.505,2.85,2.4
clamorous,9,,3.2,2.65
clamors,7,0.477,2.5,1.9
clamp,5,2.545,1.5,1.45
clampdown,9,0.477,3.8,4.35
clamped,7,1.505,1.85,1.75
clamping,8,1,2,2
clamps,6,1.748,1.6,1.65
clams,5,2.143,1.55,1.6
clamshell,9,0.602,3.9,3.8
clan,4,2.322,1.4,1.3
clandestine,11,1.663,4.4,4.8
clang,5,1.643,1.75,1.4
clanged,7,0.301,1.95,1.75
clank,5,1.23,1.5,1.55
clanking,8,1.748,1.9,1.9
clannish,8,0.778,3,2
clannishness,12,,4.7,3.45
clansman,8,0.602,3,3.2
clap,4,2.384,1.2,1.1
clapboard,9,0.477,3.3,3.3
clapped,7,1.431,1.55,1.4
clapper,7,1.322,1.85,1.8
clapperboard,12,0.699,4.75,4.95
clapping,8,2.021,1.75,1.75
claps,5,1.38,1.4,1.35
claptrap,8,1.176,3.85,4.15
Clara,5,,1.9,1.85
Clare,5,2.107,1.65,1.5
Clarence,8,2.643,2.75,2.4
clarification,13,1.491,3.3,3.25
clarified,9,1.23,2.75,2.6
clarifies,9,0.301,2.9,2.65
clarify,7,2.061,2.7,2.55
clarifying,10,1,3.3,3.4
clarinet,8,1.909,2.95,3.65
clarity,7,2.033,2.4,2.5
Clark,5,3.005,1.7,1.85
Clark's,7,,,
clash,5,1.839,1.65,1.3
clashed,7,1.079,1.6,1.55
clashes,7,0.954,1.7,1.75
clasp,5,1.724,1.8,1.7
clasped,7,0.845,1.8,1.8
clasping,8,0.602,1.9,1.9
class,5,3.777,1.5,1.2
classed,7,0.699,1.85,1.45
classes,7,2.91,1.75,1.8
classic,7,2.917,2.4,1.95
classical,9,2.352,3.4,2.75
classicalism,12,,4.5,5.4
classicism,10,,3.45,3.75
classicist,10,0.778,3.45,3.5
classics,8,2.053,2.5,2.5
classiest,9,0.903,2.8,2.9
classifiable,12,,4.7,5.3
classification,14,1.58,3.4,3.25
classifications,15,0.477,4.1,3.7
classificatory,14,,5.6,7.05
classified,10,2.539,3.35,2.65
classifiers,11,,4.15,4.25
classify,8,1.518,2.75,2.55
classifying,11,1.079,3.8,3.45
classless,9,0.699,2.7,2.45
classmate,9,1.898,3.5,3.25
classmates,10,2.13,3.7,3.75
classroom,9,2.358,3.65,3.35
classrooms,10,1.491,3.85,3.55
classy,6,2.47,1.9,1.7
clatter,7,1.568,1.7,1.5
clattered,9,,1.85,1.75
clattering,10,1.935,2.2,2.1
clattery,8,,2.3,1.95
Claude,6,,1.95,1.6
Claude's,8,,,
Claudia's,9,,,
Claus,5,2.85,1.7,1.5
clause,6,2.158,1.8,1.5
clauses,7,1.322,1.85,2.15
claustrophobia,14,1.38,6.65,6.3
claustrophobic,14,1.839,6.55,6.5
clavichord,10,0.301,4.85,3.95
clavicle,8,1.708,3.6,2.95
claw,4,2.35,1.55,1.45
clawed,6,1.279,2,1.6
clawing,7,1.415,2,1.95
claws,5,2.356,1.65,1.5
clay,4,2.788,1.55,1.55
clean,5,3.791,1.7,1.45
cleaned,7,2.958,1.7,1.75
cleaner,7,2.549,1.8,1.9
cleaners,8,2.358,2.45,2.25
cleaning,8,3.064,1.85,1.9
cleanly,7,1.415,2.5,2.35
cleans,6,2.09,1.8,1.75
cleanse,7,1.875,2.15,1.85
cleansed,8,1.447,2.2,2.45
cleansing,9,1.724,2.6,2.65
cleanup,7,2.004,2.6,2.9
cleanups,8,,2.8,3.65
clear,5,3.943,1.85,1.45
clearance,9,2.545,3.5,2.55
cleared,7,2.926,1.85,1.85
clearer,7,2.143,1.85,1.9
clearing,8,2.521,1.95,1.85
clearinghouse,13,0.954,5.45,4.6
clearly,7,3.185,2.2,2
clearness,9,0.602,2.8,2.7
clears,6,2.572,1.9,1.85
Clearwater,10,1.398,3.85,4.05
cleat,5,1.362,1.7,1.55
cleavage,8,1.851,3.3,2.9
cleave,6,1.041,1.85,1.65
cleaved,7,0.602,1.8,1.9
cleaver,7,1.839,1.75,1.85
clef,4,0.845,1.9,1.75
cleft,5,1.491,1.8,1.85
clefts,6,0.301,2,2.45
clemency,8,1.681,3.2,3.25
clench,6,1.322,1.95,1.85
clenched,8,1.362,2.25,2.25
clenches,8,0.778,2.3,2.45
clergy,6,1.69,2.5,2.95
clergyman,9,1.255,3.95,4.6
clergyman's,11,,,
clergymen,9,0.477,4.05,4.6
cleric,6,1.839,2.5,2.1
clerical,8,1.708,2.7,2.7
clerk,5,2.819,1.9,1.8
clerking,8,1.204,2.45,2.15
clerks,6,1.968,1.95,1.95
clerk's,7,,,
Cleveland,9,2.704,3.85,3.6
clever,6,3.144,1.85,1.85
cleverly,8,1.663,2.9,2.95
cleverness,10,1.431,3.75,3.7
cliche,6,1.623,1.95,2.15
cliches,7,0.954,1.95,2.75
click,5,2.516,1.55,1.1
clicked,7,1.74,1.75,1.55
clicking,8,2.158,1.8,1.65
clicks,6,2.286,1.75,1.5
client,6,3.434,1.95,2.3
clientele,9,1.909,3.85,3.75
clients,7,3.03,2.65,2.5
client's,8,,,
cliff,5,3.042,1.95,1.65
cliffhanger,11,1.146,5.1,4.7
cliffhanging,12,,5,4.75
cliffs,6,2.049,2.35,1.8
climactic,9,1.079,3.8,4.4
climate,7,2.258,2.45,2.35
climates,8,0.954,2.65,2.75
climatology,11,,4.65,5.45
climax,6,2,2.55,2.8
climaxed,8,0.699,2.7,3.6
climaxes,8,0.954,2.8,4
climb,5,3.003,1.85,1.6
climbed,7,2.408,2.15,1.7
climbing,8,2.605,2.65,2
climbs,6,1.724,1.85,1.75
clime,5,0.845,1.7,1.6
climes,6,1.041,1.8,1.75
clinch,6,1.544,1.85,1.8
clinched,8,1,2.1,2.1
clincher,8,1.255,2.5,2.7
clinches,8,1.079,2.2,2.45
cling,5,2.111,1.7,1.15
clinging,8,1.763,1.9,1.85
clings,6,1.38,1.85,1.75
clingy,6,1.491,2,1.9
clinic,6,2.854,2.4,2.1
clinical,8,2.176,2.65,2.4
clinically,10,1.591,3.3,2.65
clinics,7,1.708,2.65,2.5
clinked,7,0.301,1.8,1.85
Clinton,7,,3,2.8
clip,4,2.464,1.6,1.35
clipboard,9,1.591,3.5,3.3
clipped,7,2.057,1.75,1.65
clipper,7,1.778,1.7,1.75
clippers,8,1.763,2.15,1.85
clippings,9,1.813,2.8,2.5
clips,5,2.049,1.65,1.45
clique,6,1.602,2.55,1.25
cliques,7,1.079,2.7,1.65
clitoris,8,1.74,3.5,3.4
cloak,5,2.188,1.9,1.35
cloakroom,9,1.532,3.6,3.25
cloakrooms,10,,4.35,3.9
clobber,7,1.491,2.35,1.85
clobbered,9,1.643,2.85,2.35
clobbers,8,0.602,2.75,2.4
