vow,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,4,1,1,2,1,1,1,1,1,7,2,1,4,1,1,,1,1,1,1,,,1,1,,1,3,2,1,1,1
like,,,,,,,1,,,,,,,,,,,,,,1,,,,,,4,,,,,,,1,,,,,,,,,3,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,5,,,,,7,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,7,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,4,5,1,1,6,1,6,7,5,1,,1,1,1,,1,1,1,2,1,2,,,,4,,,1,1
wrestling,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,1,,,,,,,,6,,,,,,1,,,,,,,,,,,,,,,,,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,7,,,,,5,,,,,,,,,,,,,7,,,,5,,,,,,,,2,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,7,2,5,1,7,5,5,7,6,1,,2,7,4,5,4,7,,,,,,1,,7,2,4,1,
sale,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,5,,,,,,,,,,,7,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,6,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,1,,,,,,,,,,,,,,,1,,,,,,,,6,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,7,1,7,2,1,1,6,2,3,7,5,1,7,1,1,,,1,1,1,,,,,1,,3,,1,,
chest,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,7,,,,,,,7,,,,,,,,,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,7,,,,2,,,,,,,,,,,,,,,7,,,,,,,,7,,,,,,,7,,,,,,,,,,,,7,,,,7,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,7,7,7,4,4,4,7,6,6,7,4,4,7,4,7,7,6,7,,,7,7,7,7,,,7,7,7,,
ill,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,5,,,,,,7,,,1,,,,,,,,,4,,,,,,,,,6,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,4,,,,,,,,7,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,5,4,7,3,1,1,5,1,4,7,2,1,,2,1,1,5,2,4,,6,1,1,1,4,,7,7,,1,1
bump,,,,,,,,1,,,,,,,,,,,4,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,7,,,,4,,,,,,,,,,,,,,,,,,4,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,,,,,,,,,,,,,7,,,,,,,,,,,,4,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,7,,5,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,7,4,7,1,7,2,6,7,5,3,7,4,6,4,6,2,1,1,7,4,6,4,3,7,,,,,1
gently,,,,,,,3,,,,5,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,5,,,,4,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,7,3,7,2,1,1,6,2,6,7,3,1,7,1,1,,4,2,1,,4,,,,4,,4,7,,,1
forehead,,,,1,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,4,,,,,,,,,,,,,,2,,7,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,,7,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,7,,,,,,,,,,,,,,,,,,,,,7,,,2,,,,,,,,,,,,7,,,,,7,,,,,,,,,,7,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,2,1,1,7,7,6,7,2,7,,6,7,,7,6,,,7,,5,7,,,7,,,7,
drops,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,4,,,1,,,,,,,,,,,5,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,6,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,7,,,,,4,,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,6,,,,,7,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,7,5,7,2,1,2,6,2,5,4,3,5,,6,1,,4,3,,1,,,2,,,7,7,3,1,,
